store,storeName,storeBusinessName,address,city,State,zip,storeURL,phone,proPhone,proFax,latitude,Longitude
3,S.E. Columbus Lowe's,"LOWE'S OF S.E. COLUMBUS, OH",2888 Brice Rd,Columbus,OH,43232,http://www.lowes.com/store/OH-Columbus/0003,(614) 575-6000,(614) 604-1044,(614) 575-5964,39.9207769,-82.83027739
4,Rainier Lowe's,"LOWE'S OF RAINIER, WA",2700 Rainier Ave South,Seattle,WA,98144,http://www.lowes.com/store/WA-Seattle/0004,(206) 760-0832,(206) 403-2099,(206) 723-5367,47.57956219,-122.298188
5,Shawnee Lowe's,"LOWE'S OF SHAWNEE, OK",4817 North Kickapoo St,Shawnee,OK,74804,http://www.lowes.com/store/OK-Shawnee/0005,(405) 878-8000,(405) 788-3019,(405) 878-9402,35.38176908,-96.92790233
8,Columbia Lowe's,"LOWE'S OF COLUMBIA, MO",201 Conley Rd North,Columbia,MO,65201,http://www.lowes.com/store/MO-Columbia/0008,(573) 499-6767,(573) 499-6906,(573) 449-8341,38.95294057,-92.2961413
9,Bellefontaine Lowe's,"LOWE'S OF BELLEFONTAINE, OH",2168 U.S. 68 South,Bellefontaine,OH,43311,http://www.lowes.com/store/OH-Bellefontaine/0009,(937) 599-4000,(937) 599-5069,(937) 599-4018,40.33007517,-83.7635166
10,Tukwila Lowe's,"LOWE'S OF TUKWILA, WA",101 Andover Park East,Tukwila,WA,98188,http://www.lowes.com/store/WA-Tukwila/0010,(206) 243-5470,(206) 403-2068,(206) 243-8843,47.46052912,-122.2509927
12,Lafayette Lowe's,"LOWE'S OF LAFAYETTE, IN",100 North Creasy Ln,Lafayette,IN,47905,http://www.lowes.com/store/IN-Lafayette/0012,(765) 448-1900,(765) 269-2077,(765) 449-8539,40.41879704,-86.84101766
15,Layton Lowe's,"LOWE'S OF LAYTON, UT",1055 W. Antelope Dr,Layton,UT,84041,http://www.lowes.com/store/UT-Layton/0015,(801) 776-4447,(801) 820-1051,(801) 776-4797,41.08815351,-111.9851004
16,Madisonville Lowe's,"LOWE'S OF MADISONVILLE, KY",550 Island Ford Rd,Madisonville,KY,42431,http://www.lowes.com/store/KY-Madisonville/0016,(270) 825-1999,(270) 824-2249,(270) 821-1301,37.35070647,-87.48827347
18,Coeur D'alene Lowe's,"LOWE'S OF COEUR D'ALENE, ID",901 Appleway Ave,Coeur D Alene,ID,83814,http://www.lowes.com/store/ID-Coeur-D-Alene/0018,(208) 665-1313,(208) 666-1102,(208) 666-0243,47.70210105,-116.8010156
19,Fremont Lowe's,"LOWE'S OF FREMONT, OH","1952 North State, Route 53",Fremont,OH,43420,http://www.lowes.com/store/OH-Fremont/0019,(419) 355-0221,(419) 334-7665,(419) 355-0243,41.37200545,-83.11959845
22,Lebanon Lowe's,"LOWE'S OF LEBANON, PA",1755 Quentin Rd,Lebanon,PA,17042,http://www.lowes.com/store/PA-Lebanon/0022,(717) 228-3300,(717) 202-6019,(717) 228-0175,40.31076982,-76.42625703
26,Tacoma Lowe's,"LOWE'S OF TACOMA, WA",2701 South Orchard St,Tacoma,WA,98466,http://www.lowes.com/store/WA-Tacoma/0026,(253) 460-0471,(253) 985-9027,(253) 460-7485,47.23653478,-122.5033095
28,Texas City Lowe's,"LOWE'S OF TEXAS CITY, TX",3620 Emmett F. Lowry Expway,Texas City,TX,77590,http://www.lowes.com/store/TX-Texas-City/0028,(409) 945-8888,(409) 941-6509,(409) 945-0543,29.3973369,-94.95300126
31,Hendersonville Lowe's,"LOWE'S OF HENDERSONVILLE, NC","1415 7th Avenue, East",Hendersonville,NC,28792,http://www.lowes.com/store/NC-Hendersonville/0031,(828) 696-4900,(828) 393-2019,(828) 696-0635,35.33054153,-82.45061212
