store,friendly name,city,state,zip,address,
1001,Victorville,Victorville,CA,92392,14333 Bear Valley Rd,
1003,Tampa Palms,Tampa,FL,33647,6201 Commerce Palms Dr,
1004,S. Myrtle Beach,Myrtle Beach,SC,29588,8672 Highway 17 Bypass,
1006,Richmond,Richmond,KY,40475,814 Eastern Bypass,
1008,Clinton Township,Clinton Township,MI,48038,15350 Hall Rd,
1010,Du Bois,Du Bois,PA,15801,100 Commons Dr,
1013,Mission Valley,San Diego,CA,92108,2318 Northside Dr,
1014,North Attleboro,North Attleboro,MA,2760,1360 S. Washington St,
1016,N.W. Macon,Macon,GA,31210,6011 Zebulon Rd,
1019,San Bruno,San Bruno,CA,94066,1340 El Camino Real,
1022,Watertown,Watertown,NY,13601,20828 New York State, Route 3 (arsenal Street)
1023,Bedford Heights,Bedford Heights,OH,44146,24500 Miles Rd,
1024,Carson City,Carson City,NV,89701,430 Fairview Dr,
1026,Palm Springs,Palm Springs,CA,92264,5201 East Ramon Rd,
1030,Anaheim,Anaheim,CA,92801,1500 N. Lemon St,
1031,Anderson,Anderson,IN,46013,3335 South Scatterfield Rd,
1032,E. Chandler,Chandler,AZ,85224,2900 West Chandler Blvd,
1033,Henderson,Henderson,NV,89014,440 Marks St,
1034,Egg Harbor Township,Egg Harbor Township,NJ,8234,6048 Black Horse Pike,
1035,Holmdel,Holmdel,NJ,7733,2194 State Route 35,
1037,Central Richmond,Richmond,VA,23220,1640 West Broad St,
1038,Rockingham,Rockingham,NC,28379,1300-A East Broad Ave,
1040,Summersville,Summersville,WV,26651,5200 Webster Rd,
1041,Upland,Upland,CA,91786,1659 W. Foothill Blvd,
1042,W. Phoenix,Phoenix,AZ,85035,1620 North 75th Ave,
1043,Antioch,Antioch,CA,94509,1951 Auto Center Dr,
1045,Findlay,Findlay,OH,45840,1077 Bright Rd,
1046,Hamilton,Hamilton,NJ,8691,1000 Marketplace Blvd,
1047,Oaks,Oaks,PA,19456,200-B Mill Road,
1048,Riverside,Riverside,CA,92503,9851 Magnolia Ave,
1050,San Clemente,San Clemente,CA,92673,907 Avenida Pico,
1052,Tomball,Tomball,TX,77377,14236 Fm 2920,
1053,Pasadena,Pasadena,TX,77505,5400 Fairmont Pkwy,
1054,Metairie,Metairie,LA,70002,3640 Veterans Memorial Blvd,
